NAME,total_housing_units,owner_occupied,renter_occupied,median_household_income,rent_burden_30_34,rent_burden_35_39,rent_burden_40_49,rent_burden_50_plus,rent_burden_total,education_total,no_schooling,nursery_school,total_population,white_non_hispanic,state,county,tract
Census Tract 226.04; King County; Washington,1855,1515,340,185016,9,9,40,34,340,3555,20,0,4954,3052,53,033,022604
Census Tract 226.05; King County; Washington,2919,1342,1577,132652,223,50,29,325,1577,5298,69,0,7411,3723,53,033,022605
Census Tract 226.06; King County; Washington,2488,1799,689,185988,115,0,92,179,689,4634,0,0,6391,3442,53,033,022606
Census Tract 227.01; King County; Washington,1655,648,1007,177802,64,43,70,177,1007,2440,9,0,2982,2192,53,033,022701
Census Tract 227.02; King County; Washington,1219,942,277,225592,45,0,50,14,277,2467,0,0,4148,2968,53,033,022702
Census Tract 227.03; King County; Washington,1044,835,209,228250,0,10,16,31,209,2023,7,0,3078,1727,53,033,022703
Census Tract 228.02; King County; Washington,2366,1475,891,164237,41,0,33,132,891,4529,0,0,6380,3329,53,033,022802
Census Tract 228.03; King County; Washington,3640,732,2908,174623,210,38,23,480,2908,5704,69,0,7571,2422,53,033,022803
Census Tract 228.04; King County; Washington,2307,455,1852,103974,58,173,29,373,1852,3481,1,0,4746,1623,53,033,022804
Census Tract 228.05; King County; Washington,1681,686,995,157866,117,0,25,34,995,2772,19,0,3429,1319,53,033,022805
